,user,date,text,likes,company
121,Uniongal414,Mon Oct 26 00:15:32 +0000 2020,"RT @athenaforall: Will Amazon give 600,000 workers the ability to vote?

The nation’s biggest private employer, Walmart, has committed to p…",0,Apple
122,twood3,Mon Oct 26 00:15:32 +0000 2020,RT @MacRumors: Google Reportedly Pays Apple $8-12 Billion Per Year to be Default iOS Search Engine https://t.co/K3hEgEdL5N by @hartleycharl…,0,Apple
123,OuidaPowe,Mon Oct 26 00:15:32 +0000 2020,I asked a Black Trump supporter what DJT has done to secure his undying support. He never answered. I still don’t g… https://t.co/Rzzp2qzs6i,0,Apple
124,Gee_Money_209,Mon Oct 26 00:15:33 +0000 2020,Out now 🔥 https://t.co/sCMCpuh9iL,0,Apple
125,GarciaChingo,Mon Oct 26 00:15:20 +0000 2020,"RT @PopBaose: “Not the End of the World” by @katyperry had been added to “Future Hits” on Apple Music, fueling rumors it serves as third #S…",0,Apple
126,elliot__louis,Mon Oct 26 00:15:20 +0000 2020,"my sister just got home and comes in, throws a candy apple at me, says nothing, and walks out",0,Apple
127,marque_jennings,Mon Oct 26 00:15:57 +0000 2020,"RT @CrumblCookies: HAPPY HALLOWEEN WEEK! 👻✨🕷 
.
October 26-31
• 🍏 CARAMEL APPLE
• 🟠 REESE’S PIECES®
• 🎃 PUMPKIN ROLL 
• 🐛 DIRT CAKE 
• 🍭 CH…",0,Apple
128,ghanaiandoll,Mon Oct 26 00:15:15 +0000 2020,RT @Dimmaumeh: Thank you Apple. These men lie too much.,0,Apple
129,Angieforbes_,Mon Oct 26 00:15:11 +0000 2020,RT @deathstuds: can u please fix ur height feature @Apple https://t.co/KmmxlknQJZ,0,Apple
130,RobinluvsAileen,Mon Oct 26 00:15:11 +0000 2020,@colbybrocktober NO IT'S GREEN APPLE ADDY,0,Apple
131,MigwansRay,Mon Oct 26 00:15:12 +0000 2020,@firre1337 @jon_prosser He's frimly against foldables. that will be right up untill apple does one. then it will be labelled as invitation.,0,Apple
132,The_real_Oge,Mon Oct 26 00:15:12 +0000 2020,"RT @JustinUg_: ✰ 1 month in and my EP is at 20k + streams on Apple Music, thank you❤️🤞🏾 https://t.co/ILrSe7BMA2",0,Apple
133,The_JaviCakes,Mon Oct 26 00:15:12 +0000 2020,One and only 🎶🎶 https://t.co/8qe7XlP8Zt,0,Apple
134,BulturePod,Mon Oct 26 00:15:12 +0000 2020,"@MrMarkbonnett Was it Love, Or Was it Just a Trauma Bond??Ep91 https://t.co/qpbhmBEg9Y",0,Apple
